SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark,Display
7486,11,W111503775550049-GHe1b,Hiwar Tree,Acacia leucophloea,19.29518242,76.47283439,65,37,10_50,29,Good,Ward 11,Akshay Hake,Private,Good,No
7487,11,W111503475872175-GHe1b,Neem Tree,Azadirachta indica,19.29207523,76.47783402,61,35,10_50,27,Good,Ward 11,Akshay Hake,Private,Good,No
7488,11,W111503176194301-GHe1b,Neem Tree,Azadirachta indica,19.29221447,76.47781927,35,20,10_50,16,Good,Ward 11,Akshay Hake,Private,Good,No
7489,11,W111502876516427-GHe1b,Neem Tree,Azadirachta indica,19.29190119,76.47799294,58,33,10_50,26,Good,Ward 11,Akshay Hake,Private,Good,No
7490,11,W111502576838553-GHe1b,Neem Tree,Azadirachta indica,19.29190625,76.47792622,68,39,10_50,30,Good,Ward 11,Akshay Hake,Private,Good,No
7491,11,W111502277160679-GHe1b,Hiwar Tree,Acacia leucophloea,19.29485174,76.47375505,59,34,10_50,26,Good,Ward 11,Akshay Hake,Private,Good,No
7492,11,W111501977482805-GHe1b,Hiwar Tree,Acacia leucophloea,19.29484731,76.47369068,55,31,10_50,25,Good,Ward 11,Akshay Hake,Private,Good,No
7493,11,W111501677804931-GHe1b,Hiwar Tree,Acacia leucophloea,19.29486344,76.47363167,39,22,10_50,17,Good,Ward 11,Akshay Hake,Private,Good,No
7494,11,W111501378127057-GHe1b,Neem Tree,Azadirachta indica,19.29185309,76.47818204,30,17,10_50,13,Good,Ward 11,Akshay Hake,Private,Good,No
7495,11,W111501078449183-GHe1b,Hiwar Tree,Acacia leucophloea,19.29494256,76.47372253,46,26,10_50,21,Good,Ward 11,Akshay Hake,Private,Good,No
7496,11,W111500778771309-GHe1b,Neem Tree,Azadirachta indica,19.29186669,76.47811264,50,29,10_50,22,Good,Ward 11,Akshay Hake,Private,Good,No
7497,11,W111500479093435-GHe1b,Hiwar Tree,Acacia leucophloea,19.29494509,76.47366621,51,29,10_50,23,Good,Ward 11,Akshay Hake,Private,Good,No
7498,11,W111500179415561-GHe1b,Neem Tree,Azadirachta indica,19.29186859,76.47827994,34,19,10_50,15,Good,Ward 11,Akshay Hake,Private,Good,No
7499,11,W111499879737687-GHe1b,Neem Tree,Azadirachta indica,19.29176068,76.47842512,65,37,10_50,29,Good,Ward 11,Akshay Hake,Private,Good,No
7500,11,W111499580059813-GHe1b,Hiwar Tree,Acacia leucophloea,19.29458719,76.4726473,50,29,10_50,22,Good,Ward 11,Akshay Hake,Private,Good,No
7501,11,W111499280381939-GHe1b,Neem Tree,Azadirachta indica,19.29098158,76.47869132,48,27,10_50,22,Good,Ward 11,Akshay Hake,Private,Good,No
7502,11,W111498980704065-GHe1b,Hiwar Tree,Acacia leucophloea,19.29472516,76.4726986,41,23,10_50,18,Good,Ward 11,Akshay Hake,Private,Good,No
7503,11,W111498681026191-GHe1b,Neem Tree,Azadirachta indica,19.29106196,76.47852972,51,29,10_50,23,Good,Ward 11,Akshay Hake,Private,Good,No
7504,11,W111498381348317-GHe1b,Neem Tree,Azadirachta indica,19.29107873,76.47844825,45,26,10_50,20,Good,Ward 11,Akshay Hake,Private,Good,No
