SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark,Display
1,1,W11709306937597-WEd1a,Neem Tree,Azadirachta indica,19.32359656,76.50650281,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good,Yes
2,1,W11709306939194-WEd1a,Neem Tree,Azadirachta indica,19.3243369,76.5065179,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good,Yes
3,1,W11709306941384-WEd1a,Neem Tree,Azadirachta indica,19.32484976,76.50528409,66,38,10_50,30,Good,Ward 1,Pravin More,Private,Good,Yes
4,1,W11709306947349-WEd1a,Neem Tree,Azadirachta indica,19.32430115,76.50457699,47,27,10_50,21,Good,Ward 1,Pravin More,Private,Good,Yes
5,1,W11709306974437-WEd1a,Neem Tree,Azadirachta indica,19.3253351,76.50121551,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good,Yes
6,1,W11709306981125-WEd1a,Neem Tree,Azadirachta indica,19.32570432,76.49983853,70,40,10_50,31,Good,Ward 1,Pravin More,Private,Good,Yes
7,1,W11709307002193-WEd1a,Neem Tree,Azadirachta indica,19.32588371,76.49753921,45,26,10_50,20,Good,Ward 1,Pravin More,Private,Good,Yes
8,1,W11709307010048-WEd1a,Neem Tree,Azadirachta indica,19.31927748,76.4965374,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good,Yes
9,1,W11709307016269-WEd1a,Neem Tree,Azadirachta indica,19.32343456,76.4971533,68,39,10_50,30,Good,Ward 1,Pravin More,Private,Good,Yes
10,1,W11709307034061-WEd1a,Neem Tree,Azadirachta indica,19.31902911,76.49760392,32,18,10_50,14,Good,Ward 1,Pravin More,Private,Good,Yes
11,1,W11709307053252-WEd1a,Neem Tree,Azadirachta indica,19.31745155,76.49803743,53,30,10_50,24,Good,Ward 1,Pravin More,Private,Good,Yes
12,1,W11709307074728-WEd1a,Neem Tree,Azadirachta indica,19.31545094,76.49689279,38,22,10_50,17,Good,Ward 1,Pravin More,Private,Good,Yes
13,1,W11709307091368-WEd1a,Neem Tree,Azadirachta indica,19.31307409,76.49891417,46,26,10_50,21,Good,Ward 1,Pravin More,Private,Good,Yes
14,1,W11709307105695-WEd1a,Neem Tree,Azadirachta indica,19.3051409,76.49612132,63,36,10_50,28,Good,Ward 1,Pravin More,Private,Good,Yes
15,1,W11709307110656-WEd1a,Neem Tree,Azadirachta indica,19.3094556,76.49655886,44,25,10_50,20,Good,Ward 1,Pravin More,Private,Good,Yes
16,1,W11709307127335-WEd1a,Neem Tree,Azadirachta indica,19.30556586,76.50216099,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good,Yes
17,1,W11709307137605-WEd1a,Neem Tree,Azadirachta indica,19.31183883,76.50549967,37,21,10_50,17,Good,Ward 1,Pravin More,Private,Good,Yes
18,1,W11709307149518-WEd1a,Neem Tree,Azadirachta indica,19.32099424,76.51411358,57,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
19,1,W11709307156834-WEd1a,Neem Tree,Azadirachta indica,19.31713673,76.51025053,67,38,10_50,30,Good,Ward 1,Pravin More,Private,Good,Yes
20,1,W11709307166308-WEd1a,Neem Tree,Azadirachta indica,19.32269168,76.50941771,60,34,10_50,27,Good,Ward 1,Pravin More,Private,Good,Yes
21,1,W11709429642327-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32270687,76.5084672,70,40,10_50,31,Good,Ward 1,Pravin More,Government,Good,Yes
22,1,W11709429647853-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32230474,76.50752675,61,35,10_50,27,Good,Ward 1,Pravin More,Government,Good,Yes
23,1,W11709429653346-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32395534,76.50895569,55,31,10_50,25,Good,Ward 1,Pravin More,Government,Good,Yes
24,1,W11709429654113-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32448497,76.50782749,65,37,10_50,29,Good,Ward 1,Pravin More,Government,Good,Yes
25,1,W11709429655988-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32508294,76.5097855,53,30,10_50,24,Good,Ward 1,Pravin More,Government,Good,Yes
26,1,W11709429658685-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32338363,76.51105452,31,18,10_50,14,Good,Ward 1,Pravin More,Government,Good,Yes
27,1,W11709429702246-h9mUY,Gum Arabic Tree,Vachellia nilotica,19.32088603,76.5069085,33,19,5_10,15,Good,Ward 1,Pravin More,Private,Good,Yes
28,1,W11709430330577-lPbwo,Neem Tree,Azadirachta indica,19.31384897,76.50691688,50,29,10_50,22,Good,Ward 1,Pravin More,Private,Good,Yes
29,1,W11709430333335-lPbwo,Neem Tree,Azadirachta indica,19.31394453,76.50670197,42,24,10_50,19,Good,Ward 1,Pravin More,Private,Good,Yes
30,1,W11709430342558-lPbwo,Neem Tree,Azadirachta indica,19.31426948,76.50602706,51,29,10_50,23,Good,Ward 1,Pravin More,Private,Good,Yes
31,1,W11709430347786-lPbwo,Neem Tree,Azadirachta indica,19.31444224,76.5057243,34,19,10_50,15,Good,Ward 1,Pravin More,Private,Good,Yes
32,1,W11709430352552-lPbwo,Neem Tree,Azadirachta indica,19.31491843,76.50586512,58,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
33,1,W11709430353609-lPbwo,Neem Tree,Azadirachta indica,19.31468935,76.50637005,58,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
34,1,W11709430355211-lPbwo,Neem Tree,Azadirachta indica,19.31464442,76.50652025,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good,Yes
35,1,W11709430356193-lPbwo,Neem Tree,Azadirachta indica,19.31483205,76.50603108,60,34,10_50,27,Good,Ward 1,Pravin More,Private,Good,Yes
36,1,W11709430359687-lPbwo,Neem Tree,Azadirachta indica,19.31452514,76.50675863,57,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
37,1,W11709430363188-lPbwo,Neem Tree,Azadirachta indica,19.31439541,76.50586344,46,26,10_50,21,Good,Ward 1,Pravin More,Private,Good,Yes
38,1,W11709430371992-lPbwo,Neem Tree,Azadirachta indica,19.31386764,76.5061615,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good,Yes
39,1,W11709430373140-lPbwo,Neem Tree,Azadirachta indica,19.31370881,76.50577895,45,26,10_50,20,Good,Ward 1,Pravin More,Private,Good,Yes
40,1,W11709430378152-lPbwo,Neem Tree,Azadirachta indica,19.31325065,76.50675628,61,35,10_50,27,Good,Ward 1,Pravin More,Private,Good,Yes
41,1,W11709430381241-lPbwo,Neem Tree,Azadirachta indica,19.31310447,76.50659502,69,39,10_50,31,Good,Ward 1,Pravin More,Private,Good,Yes
42,1,W11709430432787-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31214701,76.50499742,68,39,5_10,30,Good,Ward 1,Pravin More,Private,Good,Yes
43,1,W11709430435561-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31208626,76.5048328,48,27,5_10,22,Good,Ward 1,Pravin More,Private,Good,Yes
44,1,W11709430436256-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31205652,76.50489852,67,38,5_10,30,Good,Ward 1,Pravin More,Private,Good,Yes
45,1,W11709430437173-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31225079,76.50452569,54,31,5_10,24,Good,Ward 1,Pravin More,Private,Good,Yes
46,1,W11709430437861-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31233464,76.50388531,51,29,5_10,23,Good,Ward 1,Pravin More,Private,Good,Yes
47,1,W11709430443721-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31236344,76.50492065,50,29,5_10,22,Good,Ward 1,Pravin More,Private,Good,Yes
48,1,W11709430453657-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31255202,76.50455922,68,39,5_10,30,Good,Ward 1,Pravin More,Private,Good,Yes
49,1,W11709430454687-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31244697,76.50450256,50,29,5_10,22,Good,Ward 1,Pravin More,Private,Good,Yes
50,1,W11709430455522-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31248431,76.50426351,45,26,5_10,20,Good,Ward 1,Pravin More,Private,Good,Yes
51,1,W11709430459783-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31276243,76.50473859,35,20,5_10,16,Good,Ward 1,Pravin More,Private,Good,Yes
52,1,W11709430461510-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31238147,76.5049696,62,35,5_10,28,Good,Ward 1,Pravin More,Private,Good,Yes
53,1,W11709430461954-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31254506,76.50482509,37,21,5_10,17,Good,Ward 1,Pravin More,Private,Good,Yes
54,1,W11709430463378-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.3126906,76.50446601,70,40,5_10,31,Good,Ward 1,Pravin More,Private,Good,Yes
55,1,W11709430463928-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31260802,76.50439024,30,17,5_10,13,Good,Ward 1,Pravin More,Private,Good,Yes
56,1,W11709430464679-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31255012,76.5043366,45,26,5_10,20,Good,Ward 1,Pravin More,Private,Good,Yes
57,1,W11709430465538-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31269567,76.50415152,44,25,5_10,20,Good,Ward 1,Pravin More,Private,Good,Yes
58,1,W11709430466545-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31290197,76.50437515,32,18,5_10,14,Good,Ward 1,Pravin More,Private,Good,Yes
59,1,W11709430467172-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.31284786,76.50449418,30,17,5_10,13,Good,Ward 1,Pravin More,Private,Good,Yes
60,1,W11709430468893-lPbwo,Gum Arabic Tree,Vachellia nilotica,19.3126577,76.50459811,45,26,5_10,20,Good,Ward 1,Pravin More,Private,Good,Yes
319,1,W11709431368174-lPbwo,Neem Tree,Azadirachta indica,19.32090628,76.51423194,47,27,10_50,21,Good,Ward 1,Pravin More,Private,Good,Yes
320,1,W11709431369263-lPbwo,Neem Tree,Azadirachta indica,19.32112523,76.51385274,65,37,10_50,29,Good,Ward 1,Pravin More,Private,Good,Yes
321,1,W11709431370287-lPbwo,Neem Tree,Azadirachta indica,19.32123312,76.51345376,57,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
322,1,W11709431372211-lPbwo,Neem Tree,Azadirachta indica,19.32150047,76.51286032,60,34,10_50,27,Good,Ward 1,Pravin More,Private,Good,Yes
323,1,W11709431374153-lPbwo,Neem Tree,Azadirachta indica,19.32169157,76.51240334,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good,Yes
324,1,W11709431382055-lPbwo,Neem Tree,Azadirachta indica,19.32252779,76.5108081,46,26,10_50,21,Good,Ward 1,Pravin More,Private,Good,Yes
325,1,W11709431383062-lPbwo,Neem Tree,Azadirachta indica,19.32232435,76.51130162,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good,Yes
326,1,W11709431384236-lPbwo,Neem Tree,Azadirachta indica,19.32208295,76.51092678,33,19,10_50,15,Good,Ward 1,Pravin More,Private,Good,Yes
327,1,W11709431385216-lPbwo,Neem Tree,Azadirachta indica,19.32190229,76.51093449,66,38,10_50,30,Good,Ward 1,Pravin More,Private,Good,Yes
328,1,W11709431424964-lPbwo,Indian Jujube Tree,Ziziphus mauritiana,19.32216584,76.5117415,68,39,10_50,30,Good,Ward 1,Pravin More,Private,Good,Yes
329,1,W11709431425567-lPbwo,Indian Jujube Tree,Ziziphus mauritiana,19.32209086,76.51185885,39,22,10_50,17,Good,Ward 1,Pravin More,Private,Good,Yes
330,1,W11709431426706-lPbwo,Indian Jujube Tree,Ziziphus mauritiana,19.32190893,76.51218306,41,23,10_50,18,Good,Ward 1,Pravin More,Private,Good,Yes
331,1,W11709431428721-lPbwo,Indian Jujube Tree,Ziziphus mauritiana,19.32139131,76.51311647,42,24,10_50,19,Good,Ward 1,Pravin More,Private,Good,Yes
332,1,W11709431434486-lPbwo,Indian Jujube Tree,Ziziphus mauritiana,19.32102683,76.51399355,44,25,10_50,20,Good,Ward 1,Pravin More,Private,Good,Yes
333,1,W11709431435666-lPbwo,Indian Jujube Tree,Ziziphus mauritiana,19.32115212,76.51368108,39,22,10_50,17,Good,Ward 1,Pravin More,Private,Good,Yes
334,1,W11709431500154-lPbwo,Neem Tree,Azadirachta indica,19.32239965,76.51013989,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good,Yes
335,1,W11709431500993-lPbwo,Neem Tree,Azadirachta indica,19.32253064,76.51018716,33,19,10_50,15,Good,Ward 1,Pravin More,Private,Good,Yes
336,1,W11709431505059-lPbwo,Neem Tree,Azadirachta indica,19.32261069,76.50986329,51,29,10_50,23,Good,Ward 1,Pravin More,Private,Good,Yes
337,1,W11709431507539-lPbwo,Neem Tree,Azadirachta indica,19.32268599,76.50953405,53,30,10_50,24,Good,Ward 1,Pravin More,Private,Good,Yes
338,1,W11709431509884-lPbwo,Neem Tree,Azadirachta indica,19.32269833,76.50979389,62,35,10_50,28,Good,Ward 1,Pravin More,Private,Good,Yes
339,1,W11709431510855-lPbwo,Neem Tree,Azadirachta indica,19.32266384,76.50963161,51,29,10_50,23,Good,Ward 1,Pravin More,Private,Good,Yes
340,1,W11709431512335-lPbwo,Neem Tree,Azadirachta indica,19.32260025,76.50999203,53,30,10_50,24,Good,Ward 1,Pravin More,Private,Good,Yes
341,1,W11709431513366-lPbwo,Neem Tree,Azadirachta indica,19.32261258,76.51014861,37,21,10_50,17,Good,Ward 1,Pravin More,Private,Good,Yes
342,1,W11709431518321-lPbwo,Neem Tree,Azadirachta indica,19.32261986,76.5105278,57,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
343,1,W11709431521175-lPbwo,Neem Tree,Azadirachta indica,19.32246135,76.5101238,44,25,10_50,20,Good,Ward 1,Pravin More,Private,Good,Yes
344,1,W11709431523970-lPbwo,Neem Tree,Azadirachta indica,19.3223253,76.51008926,65,37,10_50,29,Good,Ward 1,Pravin More,Private,Good,Yes
345,1,W11709431524696-lPbwo,Neem Tree,Azadirachta indica,19.32225949,76.51005875,36,21,10_50,16,Good,Ward 1,Pravin More,Private,Good,Yes
346,1,W11709431525530-lPbwo,Neem Tree,Azadirachta indica,19.32219685,76.51005741,58,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
347,1,W11709431527066-lPbwo,Neem Tree,Azadirachta indica,19.32209022,76.51001517,47,27,10_50,21,Good,Ward 1,Pravin More,Private,Good,Yes
348,1,W11709431530088-lPbwo,Neem Tree,Azadirachta indica,19.3218156,76.50992632,31,18,10_50,14,Good,Ward 1,Pravin More,Private,Good,Yes
349,1,W11709431530592-lPbwo,Neem Tree,Azadirachta indica,19.32172511,76.5098938,44,25,10_50,20,Good,Ward 1,Pravin More,Private,Good,Yes
350,1,W11709431531452-lPbwo,Neem Tree,Azadirachta indica,19.32179345,76.5098482,58,33,10_50,26,Good,Ward 1,Pravin More,Private,Good,Yes
351,1,W11709431532329-lPbwo,Neem Tree,Azadirachta indica,19.32190292,76.50987402,45,26,10_50,20,Good,Ward 1,Pravin More,Private,Good,Yes
352,1,W11709431648890-lPbwo,Sag Tree,Tectona grandis,19.32021243,76.51288413,44,25,5_10,20,Good,Ward 1,Pravin More,Private,Good,Yes
353,1,W11709431658438-lPbwo,Sag Tree,Tectona grandis,19.32006151,76.51298337,37,21,5_10,17,Good,Ward 1,Pravin More,Private,Good,Yes
354,1,W11709431675930-lPbwo,Indian Jujube Tree,Ziziphus mauritiana,19.32031494,76.51271448,53,30,5_10,24,Good,Ward 1,Pravin More,Private,Good,Yes
