SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark,Display
2500,11,W111709382921865-h9mUY,Mango Tree,Mangifera indica,19.29996476,76.47755809,32,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2501,11,W111709382932669-h9mUY,Mango Tree,Mangifera indica,19.29995368,76.47760101,34,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2502,11,W111709382933450-h9mUY,Mango Tree,Mangifera indica,19.2999271,76.47753563,31,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2503,11,W111709382936948-baw6S,Guava Tree,Psidium guajava,19.29929581,76.47414465,32,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2504,11,W111709382937159-h9mUY,Mango Tree,Mangifera indica,19.29992299,76.47758055,37,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2505,11,W111709382940553-baw6S,Guava Tree,Psidium guajava,19.29938537,76.47407021,32,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2506,11,W111709382941285-h9mUY,Mango Tree,Mangifera indica,19.2998828,76.4776409,40,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2507,11,W111709382942122-h9mUY,Mango Tree,Mangifera indica,19.2998885,76.47760604,30,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2508,11,W111709382942260-baw6S,Guava Tree,Psidium guajava,19.29946606,76.47418119,33,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2509,11,W111709382942723-baw6S,Guava Tree,Psidium guajava,19.29945277,76.47411514,31,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2510,11,W111709382944415-h9mUY,Mango Tree,Mangifera indica,19.29989514,76.47756446,35,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2511,11,W111709382945352-h9mUY,Mango Tree,Mangifera indica,19.29988122,76.47753932,40,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2512,11,W111709382946782-baw6S,Guava Tree,Psidium guajava,19.29955751,76.47422377,34,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2513,11,W111709382947870-baw6S,Guava Tree,Psidium guajava,19.29962332,76.47413559,34,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2514,11,W111709382949798-baw6S,Guava Tree,Psidium guajava,19.29963567,76.47408631,33,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2515,11,W111709382952104-baw6S,Guava Tree,Psidium guajava,19.29970718,76.47418387,39,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2516,11,W111709382952747-baw6S,Guava Tree,Psidium guajava,19.29974958,76.47422578,30,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2517,11,W111709382953515-baw6S,Guava Tree,Psidium guajava,19.29975496,76.47418287,37,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2518,11,W111709382954042-baw6S,Guava Tree,Psidium guajava,19.2997537,76.47414129,40,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2519,11,W111709382954518-baw6S,Guava Tree,Psidium guajava,19.29971636,76.47409871,37,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2520,11,W111709382957983-baw6S,Guava Tree,Psidium guajava,19.299798,76.47410039,32,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2521,11,W111709382958847-baw6S,Guava Tree,Psidium guajava,19.29985875,76.47407357,36,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2522,11,W111709382960334-baw6S,Guava Tree,Psidium guajava,19.29982616,76.47420097,36,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2523,11,W111709382960660-baw6S,Guava Tree,Psidium guajava,19.29988786,76.47420365,37,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2524,11,W111709382962983-baw6S,Guava Tree,Psidium guajava,19.2999271,76.47415303,36,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2525,11,W111709382963348-baw6S,Guava Tree,Psidium guajava,19.29992267,76.47410542,32,23,5_10,18,Good,Ward 11,Amol Londhe,Private,Good,Yes
2526,11,W111709382965435-baw6S,Guava Tree,Psidium guajava,19.29996254,76.47419695,37,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2527,11,W111709382965931-baw6S,Guava Tree,Psidium guajava,19.29991191,76.47424221,31,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2528,11,W111709382967196-baw6S,Guava Tree,Psidium guajava,19.30000621,76.47426032,35,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2529,11,W111709382969950-baw6S,Guava Tree,Psidium guajava,19.30004924,76.47421706,37,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2530,11,W111709382970845-baw6S,Guava Tree,Psidium guajava,19.3000426,76.47416376,35,23,5_10,18,Good,Ward 11,Amol Londhe,Private,Good,Yes
2531,11,W111709382972900-baw6S,Guava Tree,Psidium guajava,19.30012519,76.47421472,34,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2532,11,W111709382973478-baw6S,Guava Tree,Psidium guajava,19.30014291,76.47416845,39,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2533,11,W111709382974205-baw6S,Guava Tree,Psidium guajava,19.30013278,76.47412688,30,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2534,11,W111709383021694-h9mUY,Coconut Tree,Cocos nucifera,19.30032043,76.47774585,36,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2535,11,W111709383023409-h9mUY,Coconut Tree,Cocos nucifera,19.30022708,76.47774283,35,21,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2536,11,W111709383030628-h9mUY,Coconut Tree,Cocos nucifera,19.30011728,76.47774182,36,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2537,11,W111709383173585-h9mUY,Mosambi tree,Citrus limetta,19.30037454,76.47884656,32,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
