SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
1,6,W61709389997534-WEd1a,Neem Tree,Azadirachta indica,19.30132352,76.49521139,42,24,10_50,19,Good,Ward 6,Akshay Hake,Private,Good
2,6,W61709390031481-WEd1a,Neem Tree,Azadirachta indica,19.30139408,76.49729948,64,37,10_50,29,Good,Ward 6,Akshay Hake,Private,Good
3,6,W61709390096503-WEd1a,Neem Tree,Azadirachta indica,19.3022399,76.49923269,39,22,10_50,17,Good,Ward 6,Akshay Hake,Private,Good
4,6,W61709390103554-WEd1a,Neem Tree,Azadirachta indica,19.30094443,76.49885818,51,29,10_50,23,Good,Ward 6,Akshay Hake,Private,Good
5,6,W61709390119212-WEd1a,Neem Tree,Azadirachta indica,19.30019512,76.4974755,70,40,10_50,31,Good,Ward 6,Akshay Hake,Private,Good
6,6,W61709390137034-WEd1a,Neem Tree,Azadirachta indica,19.30021316,76.49553057,45,26,10_50,20,Good,Ward 6,Akshay Hake,Private,Good
7,6,W61709390143427-WEd1a,Neem Tree,Azadirachta indica,19.30035176,76.49481576,36,21,10_50,16,Good,Ward 6,Akshay Hake,Private,Good
8,6,W61709469655401-akK0O,Neem Tree,Azadirachta indica,19.30091374,76.49696019,51,29,10_50,23,Good,Ward 6,Akshay Hake,Private,Good
9,6,W61709469656006-akK0O,Neem Tree,Azadirachta indica,19.30084507,76.49702925,67,38,10_50,30,Good,Ward 6,Akshay Hake,Private,Good
10,6,W61709469656491-akK0O,Neem Tree,Azadirachta indica,19.30090931,76.49707921,51,29,10_50,23,Good,Ward 6,Akshay Hake,Private,Good
11,6,W61709469659051-akK0O,Neem Tree,Azadirachta indica,19.30089697,76.49699908,45,26,10_50,20,Good,Ward 6,Akshay Hake,Private,Good
13,6,W61709469685143-akK0O,Indian-almond Tree,Terminalia catappa,19.30094412,76.49721801,67,38,10_50,30,Good,Ward 6,Akshay Hake,Private,Good
14,6,W61709469685634-akK0O,Indian-almond Tree,Terminalia catappa,19.30081913,76.49727199,60,34,10_50,27,Good,Ward 6,Akshay Hake,Private,Good
15,6,W61709469715727-akK0O,Neem Tree,Azadirachta indica,19.30083906,76.49680965,60,34,10_50,27,Good,Ward 6,Akshay Hake,Private,Good
16,6,W61709469725085-akK0O,Neem Tree,Azadirachta indica,19.30054225,76.49682239,60,34,10_50,27,Good,Ward 6,Bhau Maharnavar,Private,Good
17,6,W61709469725930-akK0O,Neem Tree,Azadirachta indica,19.30049542,76.49656959,55,31,10_50,25,Good,Ward 6,Bhau Maharnavar,Private,Good
18,6,W61709469726844-akK0O,Neem Tree,Azadirachta indica,19.30049067,76.49670035,38,22,10_50,17,Good,Ward 6,Bhau Maharnavar,Private,Good
19,6,W61709469733953-akK0O,Goolar tree,Ficus racemosa,19.30055269,76.4966467,49,28,10_50,22,Good,Ward 6,Bhau Maharnavar,Private,Good
20,6,W61709469758819-akK0O,Neem Tree,Azadirachta indica,19.30115201,76.49646934,50,29,10_50,22,Good,Ward 6,Bhau Maharnavar,Private,Good
21,6,W61709469770667-akK0O,Neem Tree,Azadirachta indica,19.3008976,76.49649248,59,34,10_50,26,Good,Ward 6,Bhau Maharnavar,Private,Good
22,6,W61709469771534-akK0O,Neem Tree,Azadirachta indica,19.30092735,76.49642643,35,20,10_50,16,Good,Ward 6,Bhau Maharnavar,Private,Good
23,6,W61709469776094-akK0O,Neem Tree,Azadirachta indica,19.30085995,76.496525,34,19,10_50,15,Good,Ward 6,Bhau Maharnavar,Private,Good
24,6,W61709469776994-akK0O,Neem Tree,Azadirachta indica,19.30086659,76.49639089,50,29,10_50,22,Good,Ward 6,Bhau Maharnavar,Private,Good
25,6,W61709469777480-akK0O,Neem Tree,Azadirachta indica,19.30080299,76.49647973,34,19,10_50,15,Good,Ward 6,Bhau Maharnavar,Private,Good
26,6,W61709469789134-akK0O,Neem Tree,Azadirachta indica,19.30086912,76.49657361,63,36,10_50,28,Good,Ward 6,Bhau Maharnavar,Private,Good
27,6,W61709469807365-akK0O,Subabul Tree,Leucaena leucocephala,19.30108999,76.49608277,32,18,10_50,14,Good,Ward 6,Bhau Maharnavar,Private,Good
28,6,W61709469827872-akK0O,Peepal Tree,Ficus religiosa,19.30142921,76.49631344,38,22,10_50,17,Good,Ward 6,Bhau Maharnavar,Private,Good
29,6,W61709469897344-akK0O,Sadafuli Tree,Catharanthus roseus,19.30088589,76.49641335,38,22,5_10,17,Good,Ward 6,Bhau Maharnavar,Private,Good
30,6,W61709469922613-akK0O,Neem Tree,Azadirachta indica,19.30077356,76.49608612,48,27,10_50,22,Good,Ward 6,Bhau Maharnavar,Private,Good
31,6,W61709469925369-akK0O,Neem Tree,Azadirachta indica,19.30082862,76.49608813,46,26,10_50,21,Good,Ward 6,Bhau Maharnavar,Private,Good
32,6,W61709469943928-akK0O,Indian-almond Tree,Terminalia catappa,19.30132478,76.49647471,63,36,10_50,28,Good,Ward 6,Bhau Maharnavar,Private,Good
33,6,W61709470145043-akK0O,Peepal Tree,Ficus religiosa,19.30035112,76.49612669,46,26,10_50,21,Good,Ward 6,Bhau Maharnavar,Private,Good
34,6,W61709470149262-akK0O,Peepal Tree,Ficus religiosa,19.30038973,76.4961867,46,26,10_50,21,Good,Ward 6,Bhau Maharnavar,Private,Good
35,6,W61709470149685-akK0O,Peepal Tree,Ficus religiosa,19.30039352,76.49625912,34,19,10_50,15,Good,Ward 6,Bhau Maharnavar,Private,Good
36,6,W61709470168726-akK0O,Peepal Tree,Ficus religiosa,19.30023341,76.4963986,63,36,10_50,28,Good,Ward 6,Bhau Maharnavar,Private,Good
37,6,W61709470169509-akK0O,Peepal Tree,Ficus religiosa,19.30017012,76.49644956,44,25,10_50,20,Good,Ward 6,Bhau Maharnavar,Private,Good
38,6,W61709470170074-akK0O,Peepal Tree,Ficus religiosa,19.30029606,76.49652131,57,33,10_50,26,Good,Ward 6,Bhau Maharnavar,Private,Good
39,6,W61709470237341-akK0O,Neem Tree,Azadirachta indica,19.30046219,76.49638217,39,22,10_50,17,Good,Ward 6,Bhau Maharnavar,Private,Good
40,6,W61709470237651-akK0O,Neem Tree,Azadirachta indica,19.30058149,76.49643347,68,39,10_50,30,Good,Ward 6,Bhau Maharnavar,Private,Good
41,6,W61709470237991-akK0O,Neem Tree,Azadirachta indica,19.30062199,76.49650991,53,30,10_50,24,Good,Ward 6,Bhau Maharnavar,Private,Good
42,6,W61709470238887-akK0O,Neem Tree,Azadirachta indica,19.30063211,76.4966058,59,34,10_50,26,Good,Ward 6,Bhau Maharnavar,Private,Good
43,6,W61709470239329-akK0O,Neem Tree,Azadirachta indica,19.30063243,76.49642777,65,37,10_50,29,Good,Ward 6,Bhau Maharnavar,Private,Good
44,6,W61709470239949-akK0O,Neem Tree,Azadirachta indica,19.30075552,76.496411,54,31,10_50,24,Good,Ward 6,Bhau Maharnavar,Private,Good
45,6,W61709470240533-akK0O,Neem Tree,Azadirachta indica,19.30069951,76.49653237,65,37,10_50,29,Good,Ward 6,Bhau Maharnavar,Private,Good
46,6,W61709470243994-akK0O,Neem Tree,Azadirachta indica,19.30072578,76.49631444,32,18,10_50,14,Good,Ward 6,Bhau Maharnavar,Private,Good
47,6,W61709470244384-akK0O,Neem Tree,Azadirachta indica,19.30077356,76.49626046,57,33,10_50,26,Good,Ward 6,Bhau Maharnavar,Private,Good
48,6,W61709470245166-akK0O,Neem Tree,Azadirachta indica,19.30063306,76.49630908,70,40,10_50,31,Good,Ward 6,Bhau Maharnavar,Private,Good
49,6,W61709470473292-akK0O,Subabul Tree,Leucaena leucocephala,19.30150831,76.49668358,45,26,10_50,20,Good,Ward 6,Bhau Maharnavar,Private,Good
50,6,W61709470473650-akK0O,Subabul Tree,Leucaena leucocephala,19.30161432,76.49672683,52,30,10_50,23,Good,Ward 6,Bhau Maharnavar,Private,Good
51,6,W61709470473976-akK0O,Subabul Tree,Leucaena leucocephala,19.30147034,76.49677813,62,35,10_50,28,Good,Ward 6,Bhau Maharnavar,Private,Good
52,6,W61709470474366-akK0O,Subabul Tree,Leucaena leucocephala,19.30161558,76.49683479,64,37,10_50,29,Good,Ward 6,Bhau Maharnavar,Private,Good
53,6,W61709470474849-akK0O,Subabul Tree,Leucaena leucocephala,19.30156717,76.4967788,32,18,10_50,14,Good,Ward 6,Bhau Maharnavar,Private,Good
54,6,W61709470475475-akK0O,Subabul Tree,Leucaena leucocephala,19.30148965,76.49674963,39,22,10_50,17,Good,Ward 6,Bhau Maharnavar,Private,Good
