SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
1,9,W91709354477588-WEd1a,Neem Tree,Azadirachta indica,19.2979383,76.49523754,64,37,10_50,29,Good,ward 9,Mahendra M,Private,Good
2,9,W91709354482823-WEd1a,Neem Tree,Azadirachta indica,19.29915342,76.4957267,50,29,10_50,22,Good,ward 9,Mahendra M,Private,Good
3,9,W91709354484747-WEd1a,Neem Tree,Azadirachta indica,19.29927651,76.49733469,69,39,10_50,31,Good,ward 9,Mahendra M,Private,Good
4,9,W91709354493247-WEd1a,Neem Tree,Azadirachta indica,19.29750351,76.49751909,35,20,10_50,16,Good,ward 9,Mahendra M,Private,Good
5,9,W91709354525239-WEd1a,Neem Tree,Azadirachta indica,19.29588113,76.50414046,49,28,10_50,22,Good,ward 9,Mahendra M,Private,Good
6,9,W91709354551696-WEd1a,Neem Tree,Azadirachta indica,19.29115405,76.50289524,32,18,10_50,14,Good,ward 9,Mahendra M,Private,Good
7,9,W91709354575696-WEd1a,Neem Tree,Azadirachta indica,19.29421315,76.49314877,36,21,10_50,16,Good,ward 9,Mahendra M,Private,Good
8,9,W91709354597839-WEd1a,Neem Tree,Azadirachta indica,19.29524824,76.48983791,37,21,10_50,17,Good,ward 9,Mahendra M,Private,Good
9,9,W91709354606055-WEd1a,Neem Tree,Azadirachta indica,19.29716334,76.49258953,42,24,10_50,19,Good,ward 9,Mahendra M,Private,Good
10,9,W91709354615169-WEd1a,Neem Tree,Azadirachta indica,19.29790697,76.49397321,48,27,10_50,22,Good,ward 9,Mahendra M,Private,Good
11,9,W91709354627952-WEd1a,Neem Tree,Azadirachta indica,19.2927537,76.49767533,36,21,10_50,16,Good,ward 9,Mahendra M,Private,Good
12,9,W91709354635510-WEd1a,Neem Tree,Azadirachta indica,19.29383943,76.50379211,58,33,10_50,26,Good,ward 9,Mahendra M,Private,Good
13,9,W91709354642707-WEd1a,Neem Tree,Azadirachta indica,19.29685102,76.50094695,54,31,10_50,24,Good,ward 9,Mahendra M,Private,Good
14,9,W91709373913205-WEd1a,Giripushp Tree,Gliricidia sepium,19.295821,76.49573911,30,17,5_10,13,Good,ward 9,Mahendra M,Government,Good
15,9,W91709373916480-WEd1a,Giripushp Tree,Gliricidia sepium,19.29589568,76.49576962,37,21,5_10,17,Good,ward 9,Mahendra M,Government,Good
