SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark,Display
2496,11,W111709382915937-h9mUY,Mango Tree,Mangifera indica,19.30000305,76.47753462,38,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2497,11,W111709382917188-h9mUY,Mango Tree,Mangifera indica,19.30000115,76.47757553,30,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2498,11,W111709382918102-h9mUY,Mango Tree,Mangifera indica,19.29999513,76.47760436,40,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2499,11,W111709382919705-h9mUY,Mango Tree,Mangifera indica,19.29996159,76.47752658,36,21,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2500,11,W111709382921865-h9mUY,Mango Tree,Mangifera indica,19.29996476,76.47755809,32,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2501,11,W111709382932669-h9mUY,Mango Tree,Mangifera indica,19.29995368,76.47760101,34,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2502,11,W111709382933450-h9mUY,Mango Tree,Mangifera indica,19.2999271,76.47753563,31,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2503,11,W111709382936948-baw6S,Guava Tree,Psidium guajava,19.29929581,76.47414465,32,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2504,11,W111709382937159-h9mUY,Mango Tree,Mangifera indica,19.29992299,76.47758055,37,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2505,11,W111709382940553-baw6S,Guava Tree,Psidium guajava,19.29938537,76.47407021,32,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2506,11,W111709382941285-h9mUY,Mango Tree,Mangifera indica,19.2998828,76.4776409,40,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2507,11,W111709382942122-h9mUY,Mango Tree,Mangifera indica,19.2998885,76.47760604,30,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2508,11,W111709382942260-baw6S,Guava Tree,Psidium guajava,19.29946606,76.47418119,33,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2509,11,W111709382942723-baw6S,Guava Tree,Psidium guajava,19.29945277,76.47411514,31,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2510,11,W111709382944415-h9mUY,Mango Tree,Mangifera indica,19.29989514,76.47756446,35,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2511,11,W111709382945352-h9mUY,Mango Tree,Mangifera indica,19.29988122,76.47753932,40,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2512,11,W111709382946782-baw6S,Guava Tree,Psidium guajava,19.29955751,76.47422377,34,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2513,11,W111709382947870-baw6S,Guava Tree,Psidium guajava,19.29962332,76.47413559,34,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2514,11,W111709382949798-baw6S,Guava Tree,Psidium guajava,19.29963567,76.47408631,33,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2515,11,W111709382952104-baw6S,Guava Tree,Psidium guajava,19.29970718,76.47418387,39,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2516,11,W111709382952747-baw6S,Guava Tree,Psidium guajava,19.29974958,76.47422578,30,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2517,11,W111709382953515-baw6S,Guava Tree,Psidium guajava,19.29975496,76.47418287,37,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2518,11,W111709382954042-baw6S,Guava Tree,Psidium guajava,19.2997537,76.47414129,40,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2519,11,W111709382954518-baw6S,Guava Tree,Psidium guajava,19.29971636,76.47409871,37,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2520,11,W111709382957983-baw6S,Guava Tree,Psidium guajava,19.299798,76.47410039,32,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2521,11,W111709382958847-baw6S,Guava Tree,Psidium guajava,19.29985875,76.47407357,36,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2522,11,W111709382960334-baw6S,Guava Tree,Psidium guajava,19.29982616,76.47420097,36,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2523,11,W111709382960660-baw6S,Guava Tree,Psidium guajava,19.29988786,76.47420365,37,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2524,11,W111709382962983-baw6S,Guava Tree,Psidium guajava,19.2999271,76.47415303,36,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2525,11,W111709382963348-baw6S,Guava Tree,Psidium guajava,19.29992267,76.47410542,32,23,5_10,18,Good,Ward 11,Amol Londhe,Private,Good,Yes
2526,11,W111709382965435-baw6S,Guava Tree,Psidium guajava,19.29996254,76.47419695,37,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2527,11,W111709382965931-baw6S,Guava Tree,Psidium guajava,19.29991191,76.47424221,31,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2528,11,W111709382967196-baw6S,Guava Tree,Psidium guajava,19.30000621,76.47426032,35,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2529,11,W111709382969950-baw6S,Guava Tree,Psidium guajava,19.30004924,76.47421706,37,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2530,11,W111709382970845-baw6S,Guava Tree,Psidium guajava,19.3000426,76.47416376,35,23,5_10,18,Good,Ward 11,Amol Londhe,Private,Good,Yes
2531,11,W111709382972900-baw6S,Guava Tree,Psidium guajava,19.30012519,76.47421472,34,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2532,11,W111709382973478-baw6S,Guava Tree,Psidium guajava,19.30014291,76.47416845,39,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2533,11,W111709382974205-baw6S,Guava Tree,Psidium guajava,19.30013278,76.47412688,30,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2534,11,W111709383021694-h9mUY,Coconut Tree,Cocos nucifera,19.30032043,76.47774585,36,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2535,11,W111709383023409-h9mUY,Coconut Tree,Cocos nucifera,19.30022708,76.47774283,35,21,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2536,11,W111709383030628-h9mUY,Coconut Tree,Cocos nucifera,19.30011728,76.47774182,36,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2537,11,W111709383173585-h9mUY,Mosambi tree,Citrus limetta,19.30037454,76.47884656,32,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2538,11,W111709383174696-h9mUY,Mosambi tree,Citrus limetta,19.30034986,76.47890154,40,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2539,11,W111709383175752-h9mUY,Mosambi tree,Citrus limetta,19.30034701,76.47893373,32,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2540,11,W111709383176994-h9mUY,Mosambi tree,Citrus limetta,19.30031631,76.47897094,32,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2541,11,W111709383178017-h9mUY,Mosambi tree,Citrus limetta,19.30032644,76.47901185,33,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2542,11,W111709383179308-h9mUY,Mosambi tree,Citrus limetta,19.30030461,76.47905543,40,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2543,11,W111709383180827-h9mUY,Mosambi tree,Citrus limetta,19.3002929,76.47909097,40,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2544,11,W111709383181753-h9mUY,Mosambi tree,Citrus limetta,19.30029227,76.4791188,35,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2545,11,W111709383183090-h9mUY,Mosambi tree,Citrus limetta,19.30032138,76.47916976,34,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2546,11,W111709383207261-h9mUY,Mosambi tree,Citrus limetta,19.30028562,76.47925995,38,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2547,11,W111709383209030-h9mUY,Mosambi tree,Citrus limetta,19.30028942,76.47928979,33,23,5_10,18,Good,Ward 11,Amol Londhe,Private,Good,Yes
2548,11,W111709383209907-h9mUY,Mosambi tree,Citrus limetta,19.30028246,76.4793032,38,20,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2549,11,W111709383214818-h9mUY,Mosambi tree,Citrus limetta,19.30027075,76.4793364,39,17,5_10,13,Good,Ward 11,Amol Londhe,Private,Good,Yes
2550,11,W111709383215864-h9mUY,Mosambi tree,Citrus limetta,19.30021126,76.47936724,30,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2551,11,W111709383220749-h9mUY,Mosambi tree,Citrus limetta,19.30026031,76.47921268,33,21,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2552,11,W111709383224242-h9mUY,Mosambi tree,Citrus limetta,19.3002467,76.47924017,39,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2553,11,W111709383225056-h9mUY,Mosambi tree,Citrus limetta,19.30023942,76.479268,31,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2554,11,W111709383225874-h9mUY,Mosambi tree,Citrus limetta,19.30023246,76.47929549,30,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2555,11,W111709383226721-h9mUY,Mosambi tree,Citrus limetta,19.30022012,76.47932634,38,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2556,11,W111709383229185-h9mUY,Mosambi tree,Citrus limetta,19.30026379,76.47918284,34,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2557,11,W111709383233366-h9mUY,Mosambi tree,Citrus limetta,19.30032359,76.47879425,30,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2558,11,W111709383234219-h9mUY,Mosambi tree,Citrus limetta,19.30031252,76.47882778,33,22,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2559,11,W111709383235032-h9mUY,Mosambi tree,Citrus limetta,19.30030461,76.47885628,33,21,5_10,16,Good,Ward 11,Amol Londhe,Private,Good,Yes
2560,11,W111709383239113-h9mUY,Mosambi tree,Citrus limetta,19.30028784,76.47890523,33,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2561,11,W111709383239369-baw6S,Gum Arabic Tree,Vachellia nilotica,19.30024891,76.47820417,45,33,10_50,26,Good,Ward 11,Amol Londhe,Private,Good,Yes
2562,11,W111709383241196-h9mUY,Mosambi tree,Citrus limetta,19.3002679,76.47895854,39,23,5_10,18,Good,Ward 11,Amol Londhe,Private,Good,Yes
2563,11,W111709383242121-h9mUY,Mosambi tree,Citrus limetta,19.3002622,76.47899039,36,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2564,11,W111709383243787-h9mUY,Mosambi tree,Citrus limetta,19.30023404,76.47907689,38,18,5_10,14,Good,Ward 11,Amol Londhe,Private,Good,Yes
2565,11,W111709383245185-h9mUY,Mosambi tree,Citrus limetta,19.3002236,76.47910539,35,19,5_10,15,Good,Ward 11,Amol Londhe,Private,Good,Yes
2566,11,W111709383249369-h9mUY,Mosambi tree,Citrus limetta,19.3002198,76.47913791,30,21,5_10,17,Good,Ward 11,Amol Londhe,Private,Good,Yes
2567,11,W111709383254789-h9mUY,Mosambi tree,Citrus limetta,19.30020303,76.47920027,36,23,5_10,18,Good,Ward 11,Amol Londhe,Private,Good,Yes
