SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
1,7,W71709390256798-WEd1a,Neem Tree,Azadirachta indica,19.29818955,76.49393063,41,23,10_50,18,Good,Ward 7,Bhau Madane,Private,Good
2,7,W71709390264123-WEd1a,Neem Tree,Azadirachta indica,19.29805886,76.49546854,59,34,10_50,26,Good,Ward 7,Bhau Madane,Private,Good
3,7,W71709390281503-WEd1a,Neem Tree,Azadirachta indica,19.29904583,76.49561204,43,25,10_50,19,Good,Ward 7,Bhau Madane,Private,Good
4,7,W71709390298888-WEd1a,Neem Tree,Azadirachta indica,19.30079508,76.49494953,47,27,10_50,21,Good,Ward 7,Bhau Madane,Private,Good
5,7,W71709390320696-WEd1a,Neem Tree,Azadirachta indica,19.3011191,76.49884913,66,38,10_50,30,Good,Ward 7,Bhau Madane,Private,Good
6,7,W71709390327380-WEd1a,Neem Tree,Azadirachta indica,19.29945118,76.4972673,48,27,10_50,22,Good,Ward 7,Bhau Madane,Private,Good
7,7,W71709390345845-WEd1a,Neem Tree,Azadirachta indica,19.30087608,76.49705306,68,39,10_50,30,Good,Ward 7,Bhau Madane,Private,Good
8,7,W71709390353372-WEd1a,Neem Tree,Azadirachta indica,19.30005557,76.49835192,45,26,10_50,20,Good,Ward 7,Bhau Madane,Private,Good
9,7,W71709390370305-WEd1a,Neem Tree,Azadirachta indica,19.30079698,76.49607707,69,39,10_50,31,Good,Ward 7,Bhau Madane,Private,Good
10,7,W71709434572457-akK0O,Neem Tree,Azadirachta indica,19.29728834,76.49497066,55,31,10_50,25,Good,Ward 7,Bhau Madane,Government,Good
11,7,W71709434974260-akK0O,Babhul Tree,Vachellia nilotica,19.29813607,76.49395343,54,31,10_50,24,Good,Ward 7,Bhau Madane,Government,Good
12,7,W71709434995873-akK0O,Subabul Tree,Leucaena leucocephala,19.29817626,76.49400003,47,27,10_50,21,Good,Ward 7,Bhau Madane,Government,Good
13,7,W71709434996588-akK0O,Subabul Tree,Leucaena leucocephala,19.29821423,76.49400037,59,34,10_50,26,Good,Ward 7,Bhau Madane,Government,Good
14,7,W71709434997373-akK0O,Subabul Tree,Leucaena leucocephala,19.29823037,76.49395879,63,36,10_50,28,Good,Ward 7,Bhau Madane,Government,Good
15,7,W71709434998175-akK0O,Subabul Tree,Leucaena leucocephala,19.29821455,76.4938914,43,25,10_50,19,Good,Ward 7,Bhau Madane,Government,Good
16,7,W71709435007047-akK0O,Subabul Tree,Leucaena leucocephala,19.29823923,76.49393264,57,33,10_50,26,Good,Ward 7,Bhau Madane,Government,Good
17,7,W71709435301522-akK0O,Neem Tree,Azadirachta indica,19.29816234,76.49551414,39,22,5_10,17,Good,Ward 7,Bhau Madane,Government,Good
18,7,W71709435341724-akK0O,Saptaparni Tree,Alstonia scholaris,19.29806519,76.49550106,35,20,10_50,16,Good,Ward 7,Bhau Madane,Government,Good
19,7,W71709435383242-akK0O,Peepal Tree,Ficus religiosa,19.29799589,76.49527643,33,19,10_50,15,Good,Ward 7,Bhau Madane,Government,Good
20,7,W71709435410352-akK0O,Indian-almond Tree,Terminalia catappa,19.29802342,76.49528246,54,31,10_50,24,Good,Ward 7,Bhau Madane,Private,Good
21,7,W71709435422491-akK0O,Goolar tree,Ficus racemosa,19.29801583,76.49531901,64,37,10_50,29,Good,Ward 7,Bhau Madane,Private,Good
22,7,W71709435484523-akK0O,Neem Tree,Azadirachta indica,19.29843258,76.49545915,47,27,10_50,21,Good,Ward 7,Bhau Madane,Government,Good
23,7,W71709435626294-akK0O,Neem Tree,Azadirachta indica,19.29793577,76.49516881,34,19,5_10,15,Good,Ward 7,Bhau Madane,Government,Good
24,7,W71709435647554-akK0O,Saptaparni Tree,Alstonia scholaris,19.29792469,76.49511315,35,20,5_10,16,Good,Ward 7,Bhau Madane,Government,Good
25,7,W71709435776552-akK0O,Subabul Tree,Leucaena leucocephala,19.29796393,76.49504911,32,18,5_10,14,Good,Ward 7,Bhau Madane,Government,Good
26,7,W71709435794569-akK0O,Subabul Tree,Leucaena leucocephala,19.29801551,76.4945985,35,20,5_10,16,Good,Ward 7,Bhau Madane,Government,Good
27,7,W71709435801861-akK0O,Subabul Tree,Leucaena leucocephala,19.2980038,76.49469104,56,32,10_50,25,Good,Ward 7,Bhau Madane,Government,Good
28,7,W71709435838735-akK0O,Neem Tree,Azadirachta indica,19.29799684,76.49476312,51,29,10_50,23,Good,Ward 7,Bhau Madane,Government,Good
29,7,W71709435912179-akK0O,Babhul Tree,Vachellia nilotica,19.29808101,76.49431083,40,23,10_50,18,Good,Ward 7,Bhau Madane,Government,Good
