SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark,Display
5989,11,W111709484364029-MZ1ci,Mosambi tree,Citrus limetta,19.29263092,76.47941552,22,14,2_5,11,Good,Ward 11,Akshay Hake,Private,Good,Yes
5990,11,W111709484370060-MZ1ci,Mosambi tree,Citrus limetta,19.29257649,76.4794239,30,15,2_5,12,Good,Ward 11,Akshay Hake,Private,Good,Yes
5991,11,W111709484370745-MZ1ci,Mosambi tree,Citrus limetta,19.29256257,76.47942625,26,12,2_5,9,Good,Ward 11,Akshay Hake,Private,Good,Yes
5992,11,W111709484371192-MZ1ci,Mosambi tree,Citrus limetta,19.29254991,76.47942893,23,15,2_5,12,Good,Ward 11,Akshay Hake,Private,Good,Yes
5993,11,W111709484371687-MZ1ci,Mosambi tree,Citrus limetta,19.29253472,76.47942826,22,14,2_5,11,Good,Ward 11,Akshay Hake,Private,Good,Yes
5994,11,W111709484372127-MZ1ci,Mosambi tree,Citrus limetta,19.29252459,76.47942457,24,15,2_5,12,Good,Ward 11,Akshay Hake,Private,Good,Yes
5995,11,W111709484372661-MZ1ci,Mosambi tree,Citrus limetta,19.29250972,76.47942457,25,14,2_5,11,Good,Ward 11,Akshay Hake,Private,Good,Yes
5996,11,W111709484373068-MZ1ci,Mosambi tree,Citrus limetta,19.29249801,76.47942659,22,17,2_5,13,Good,Ward 11,Akshay Hake,Private,Good,Yes
5997,11,W111709484373522-MZ1ci,Mosambi tree,Citrus limetta,19.29248472,76.47942223,22,11,2_5,9,Good,Ward 11,Akshay Hake,Private,Good,Yes
5998,11,W111709484398461-MZ1ci,Mosambi tree,Citrus limetta,19.29088253,76.48002438,27,17,2_5,13,Good,Ward 11,Akshay Hake,Private,Good,Yes
5999,11,W111709484399100-MZ1ci,Mosambi tree,Citrus limetta,19.29086228,76.48002237,28,14,2_5,11,Good,Ward 11,Akshay Hake,Private,Good,Yes
