SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
1,1,W11709306937597-WEd1a,Neem Tree,Azadirachta indica,19.32359656,76.50650281,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good
2,1,W11709306939194-WEd1a,Neem Tree,Azadirachta indica,19.3243369,76.5065179,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good
3,1,W11709306941384-WEd1a,Neem Tree,Azadirachta indica,19.32484976,76.50528409,66,38,10_50,30,Good,Ward 1,Pravin More,Private,Good
4,1,W11709306947349-WEd1a,Neem Tree,Azadirachta indica,19.32430115,76.50457699,47,27,10_50,21,Good,Ward 1,Pravin More,Private,Good
5,1,W11709306974437-WEd1a,Neem Tree,Azadirachta indica,19.3253351,76.50121551,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good
6,1,W11709306981125-WEd1a,Neem Tree,Azadirachta indica,19.32570432,76.49983853,70,40,10_50,31,Good,Ward 1,Pravin More,Private,Good
7,1,W11709307002193-WEd1a,Neem Tree,Azadirachta indica,19.32588371,76.49753921,45,26,10_50,20,Good,Ward 1,Pravin More,Private,Good
8,1,W11709307010048-WEd1a,Neem Tree,Azadirachta indica,19.31927748,76.4965374,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good
9,1,W11709307016269-WEd1a,Neem Tree,Azadirachta indica,19.32343456,76.4971533,68,39,10_50,30,Good,Ward 1,Pravin More,Private,Good
10,1,W11709307034061-WEd1a,Neem Tree,Azadirachta indica,19.31902911,76.49760392,32,18,10_50,14,Good,Ward 1,Pravin More,Private,Good
11,1,W11709307053252-WEd1a,Neem Tree,Azadirachta indica,19.31745155,76.49803743,53,30,10_50,24,Good,Ward 1,Pravin More,Private,Good
12,1,W11709307074728-WEd1a,Neem Tree,Azadirachta indica,19.31545094,76.49689279,38,22,10_50,17,Good,Ward 1,Pravin More,Private,Good
13,1,W11709307091368-WEd1a,Neem Tree,Azadirachta indica,19.31307409,76.49891417,46,26,10_50,21,Good,Ward 1,Pravin More,Private,Good
14,1,W11709307105695-WEd1a,Neem Tree,Azadirachta indica,19.3051409,76.49612132,63,36,10_50,28,Good,Ward 1,Pravin More,Private,Good
15,1,W11709307110656-WEd1a,Neem Tree,Azadirachta indica,19.3094556,76.49655886,44,25,10_50,20,Good,Ward 1,Pravin More,Private,Good
16,1,W11709307127335-WEd1a,Neem Tree,Azadirachta indica,19.30556586,76.50216099,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good
17,1,W11709307137605-WEd1a,Neem Tree,Azadirachta indica,19.31183883,76.50549967,37,21,10_50,17,Good,Ward 1,Pravin More,Private,Good
18,1,W11709307149518-WEd1a,Neem Tree,Azadirachta indica,19.32099424,76.51411358,57,33,10_50,26,Good,Ward 1,Pravin More,Private,Good
19,1,W11709307156834-WEd1a,Neem Tree,Azadirachta indica,19.31713673,76.51025053,67,38,10_50,30,Good,Ward 1,Pravin More,Private,Good
20,1,W11709307166308-WEd1a,Neem Tree,Azadirachta indica,19.32269168,76.50941771,60,34,10_50,27,Good,Ward 1,Pravin More,Private,Good
21,1,W11709429642327-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32270687,76.5084672,70,40,10_50,31,Good,Ward 1,Pravin More,Government,Good
22,1,W11709429647853-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32230474,76.50752675,61,35,10_50,27,Good,Ward 1,Pravin More,Government,Good
23,1,W11709429653346-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32395534,76.50895569,55,31,10_50,25,Good,Ward 1,Pravin More,Government,Good
24,1,W11709429654113-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32448497,76.50782749,65,37,10_50,29,Good,Ward 1,Pravin More,Government,Good
25,1,W11709429655988-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32508294,76.5097855,53,30,10_50,24,Good,Ward 1,Pravin More,Government,Good
26,1,W11709429658685-lPbwo,Nilgiri Tree,Eucalyptus globulus,19.32338363,76.51105452,31,18,10_50,14,Good,Ward 1,Pravin More,Government,Good
27,1,W11709429702246-h9mUY,Gum Arabic Tree,Vachellia nilotica,19.32088603,76.5069085,33,19,5_10,15,Good,Ward 1,Pravin More,Private,Good
28,1,W11709430330577-lPbwo,Neem Tree,Azadirachta indica,19.31384897,76.50691688,50,29,10_50,22,Good,Ward 1,Pravin More,Private,Good
29,1,W11709430333335-lPbwo,Neem Tree,Azadirachta indica,19.31394453,76.50670197,42,24,10_50,19,Good,Ward 1,Pravin More,Private,Good
30,1,W11709430342558-lPbwo,Neem Tree,Azadirachta indica,19.31426948,76.50602706,51,29,10_50,23,Good,Ward 1,Pravin More,Private,Good
31,1,W11709430347786-lPbwo,Neem Tree,Azadirachta indica,19.31444224,76.5057243,34,19,10_50,15,Good,Ward 1,Pravin More,Private,Good
32,1,W11709430352552-lPbwo,Neem Tree,Azadirachta indica,19.31491843,76.50586512,58,33,10_50,26,Good,Ward 1,Pravin More,Private,Good
33,1,W11709430353609-lPbwo,Neem Tree,Azadirachta indica,19.31468935,76.50637005,58,33,10_50,26,Good,Ward 1,Pravin More,Private,Good
34,1,W11709430355211-lPbwo,Neem Tree,Azadirachta indica,19.31464442,76.50652025,40,23,10_50,18,Good,Ward 1,Pravin More,Private,Good
35,1,W11709430356193-lPbwo,Neem Tree,Azadirachta indica,19.31483205,76.50603108,60,34,10_50,27,Good,Ward 1,Pravin More,Private,Good
36,1,W11709430359687-lPbwo,Neem Tree,Azadirachta indica,19.31452514,76.50675863,57,33,10_50,26,Good,Ward 1,Pravin More,Private,Good
37,1,W11709430363188-lPbwo,Neem Tree,Azadirachta indica,19.31439541,76.50586344,46,26,10_50,21,Good,Ward 1,Pravin More,Private,Good
38,1,W11709430371992-lPbwo,Neem Tree,Azadirachta indica,19.31386764,76.5061615,43,25,10_50,19,Good,Ward 1,Pravin More,Private,Good
39,1,W11709430373140-lPbwo,Neem Tree,Azadirachta indica,19.31370881,76.50577895,45,26,10_50,20,Good,Ward 1,Pravin More,Private,Good
