SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
1,5,W51709389639323-WEd1a,Neem Tree,Azadirachta indica,19.30307116,76.49593659,70,40,2_5,31,Good,Ward 5,Vivek Hake,Private,Good
2,5,W51709389661733-WEd1a,Neem Tree,Azadirachta indica,19.30246203,76.50052853,63,36,10_50,28,Good,Ward 5,Vivek Hake,Private,Good
3,5,W51709389668921-WEd1a,Neem Tree,Azadirachta indica,19.30278637,76.49781715,35,20,10_50,16,Good,Ward 5,Vivek Hake,Private,Good
4,5,W51709389681420-WEd1a,Neem Tree,Azadirachta indica,19.30159533,76.50137678,35,20,10_50,16,Good,Ward 5,Vivek Hake,Private,Good
5,5,W51709389697512-WEd1a,Neem Tree,Azadirachta indica,19.30119441,76.50039811,39,22,10_50,17,Good,Ward 5,Vivek Hake,Private,Good
6,5,W51709389703929-WEd1a,Neem Tree,Azadirachta indica,19.30112353,76.49883807,51,29,10_50,23,Good,Ward 5,Vivek Hake,Private,Good
7,5,W51709389721635-WEd1a,Neem Tree,Azadirachta indica,19.30145863,76.49677377,59,34,10_50,26,Good,Ward 5,Vivek Hake,Private,Good
8,5,W51709389727152-WEd1a,Neem Tree,Azadirachta indica,19.30182506,76.49546418,55,31,10_50,25,Good,Ward 5,Vivek Hake,Private,Good
9,5,W51709524303306-akK0O,Gulmohar Tree,Delonix regia,19.30286991,76.4960546,58,33,10_50,26,Good,Ward 5,Vivek Hake,Private,Good
10,5,W51709524306530-akK0O,Gulmohar Tree,Delonix regia,19.3028908,76.49602611,62,35,10_50,28,Good,Ward 5,Vivek Hake,Private,Good
11,5,W51709524307678-akK0O,Gulmohar Tree,Delonix regia,19.30293256,76.49604857,50,29,10_50,22,Good,Ward 5,Vivek Hake,Private,Good
12,5,W51709524308519-akK0O,Gulmohar Tree,Delonix regia,19.30292592,76.49601605,61,35,10_50,27,Good,Ward 5,Vivek Hake,Private,Good
13,5,W51709524309387-akK0O,Gulmohar Tree,Delonix regia,19.30291674,76.49598219,48,27,10_50,22,Good,Ward 5,Vivek Hake,Private,Good
14,5,W51709524316502-akK0O,Gulmohar Tree,Delonix regia,19.30307021,76.49605226,63,36,10_50,28,Good,Ward 5,Vivek Hake,Private,Good
15,5,W51709524317055-akK0O,Gulmohar Tree,Delonix regia,19.30305597,76.49608377,60,34,10_50,27,Good,Ward 5,Vivek Hake,Private,Good
16,5,W51709524317674-akK0O,Gulmohar Tree,Delonix regia,19.30301895,76.496123,49,28,10_50,22,Good,Ward 5,Vivek Hake,Private,Good
17,5,W51709524319239-akK0O,Gulmohar Tree,Delonix regia,19.3031952,76.49611227,69,39,10_50,31,Good,Ward 5,Vivek Hake,Private,Good
18,5,W51709524340595-akK0O,Peepal Tree,Ficus religiosa,19.30301167,76.49644084,63,36,10_50,28,Good,Ward 5,Vivek Hake,Private,Good
19,5,W51709524343876-akK0O,Peepal Tree,Ficus religiosa,19.3028639,76.49640195,32,18,10_50,14,Good,Ward 5,Vivek Hake,Private,Good
20,5,W51709524345863-akK0O,Peepal Tree,Ficus religiosa,19.3028427,76.49656925,69,39,10_50,31,Good,Ward 5,Vivek Hake,Private,Good
21,5,W51709524346254-akK0O,Peepal Tree,Ficus religiosa,19.30288194,76.49648543,52,30,10_50,23,Good,Ward 5,Vivek Hake,Private,Good
22,5,W51709524346566-akK0O,Peepal Tree,Ficus religiosa,19.30282814,76.49649113,42,24,10_50,19,Good,Ward 5,Vivek Hake,Private,Good
23,5,W51709524348475-akK0O,Peepal Tree,Ficus religiosa,19.30287276,76.49656121,41,23,10_50,18,Good,Ward 5,Vivek Hake,Private,Good
