SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
1,1,W11709431017816-lPbwo,Neem Tree,Azadirachta indica,19.31974069,76.51292201,92,53,heritage,41,Good,Ward 1,Pravin More,Private,Good
2,1,W11709431020130-lPbwo,Neem Tree,Azadirachta indica,19.3199919,76.51324488,95,54,heritage,43,Good,Ward 1,Pravin More,Private,Good
3,1,W11709431021978-lPbwo,Neem Tree,Azadirachta indica,19.32008777,76.51340112,82,47,heritage,37,Good,Ward 1,Pravin More,Private,Good
4,1,W11709431023407-lPbwo,Neem Tree,Azadirachta indica,19.32020389,76.51352182,82,47,heritage,37,Good,Ward 1,Pravin More,Private,Good
5,1,W11709431024795-lPbwo,Neem Tree,Azadirachta indica,19.32034911,76.51369046,92,53,heritage,41,Good,Ward 1,Pravin More,Private,Good
6,1,W11709431026918-lPbwo,Neem Tree,Azadirachta indica,19.32057122,76.51390102,99,57,heritage,44,Good,Ward 1,Pravin More,Private,Good
7,1,W11709431028189-lPbwo,Neem Tree,Azadirachta indica,19.32077751,76.51340045,100,57,heritage,45,Good,Ward 1,Pravin More,Private,Good
8,1,W11709431033961-lPbwo,Neem Tree,Azadirachta indica,19.32061773,76.51209824,78,45,heritage,35,Good,Ward 1,Pravin More,Private,Good
9,1,W11709431038653-lPbwo,Neem Tree,Azadirachta indica,19.32000266,76.51231483,72,41,heritage,32,Good,Ward 1,Pravin More,Private,Good
10,1,W11709431039660-lPbwo,Neem Tree,Azadirachta indica,19.31991439,76.51270308,72,41,heritage,32,Good,Ward 1,Pravin More,Private,Good
11,1,W11709431278301-lPbwo,Kavath Tree,Limonia acidissima,19.32053642,76.51386414,84,48,heritage,38,Good,Ward 1,Pravin More,Private,Good
12,1,W11709431738924-lPbwo,Babhul Tree,Vachellia nilotica,19.32033772,76.51255321,97,55,heritage,43,Good,Ward 1,Pravin More,Private,Good
13,1,W11709431780124-lPbwo,Indian jujube Tree,Ziziphus mauritiana,19.32038423,76.51236713,89,51,heritage,40,Good,Ward 1,Pravin More,Private,Good
14,1,W11709434168687-MZ1ci,Tamarind Tree,Tamarindus indica,19.3200555,76.50452871,99,57,heritage,44,Good,Ward 1,Pravin More,Private,Good
15,1,W11709438653492-h9mUY,Tamarind Tree,Tamarindus indica,19.32109169,76.50412571,93,53,heritage,42,Good,Ward 1,Pravin More,Private,Good
16,1,W11709438858961-lPbwo,banyan Tree,Ficus benghalensis,19.3223658,76.50610115,95,54,heritage,43,Good,Ward 1,Pravin More,Government,Good
17,1,W11709438871049-lPbwo,banyan Tree,Ficus benghalensis,19.32206681,76.50580544,70,40,heritage,31,Good,Ward 1,Pravin More,Government,Good
18,1,W11709438967095-lPbwo,Neem Tree,Azadirachta indica,19.32201049,76.50588188,90,51,heritage,40,Good,Ward 1,Pravin More,Private,Good
19,1,W11709438967895-lPbwo,Neem Tree,Azadirachta indica,19.32193741,76.50582019,96,55,heritage,43,Good,Ward 1,Pravin More,Private,Good
20,1,W11709438968723-lPbwo,Neem Tree,Azadirachta indica,19.32188805,76.50578063,76,43,heritage,34,Good,Ward 1,Pravin More,Private,Good
21,1,W11709438969540-lPbwo,Neem Tree,Azadirachta indica,19.32187002,76.50569413,93,53,heritage,42,Good,Ward 1,Pravin More,Private,Good
22,1,W11709438970274-lPbwo,Neem Tree,Azadirachta indica,19.32176054,76.5056036,71,41,heritage,32,Good,Ward 1,Pravin More,Private,Good
23,1,W11709438972752-lPbwo,Neem Tree,Azadirachta indica,19.32160108,76.50553923,95,54,heritage,43,Good,Ward 1,Pravin More,Private,Good
24,1,W11709438976140-lPbwo,Neem Tree,Azadirachta indica,19.32132234,76.50538366,87,50,heritage,39,Good,Ward 1,Pravin More,Private,Good
25,1,W11709438977672-lPbwo,Neem Tree,Azadirachta indica,19.32140713,76.50571324,70,40,heritage,31,Good,Ward 1,Pravin More,Private,Good
26,1,W11709438978425-lPbwo,Neem Tree,Azadirachta indica,19.32127045,76.50566462,70,40,heritage,31,Good,Ward 1,Pravin More,Private,Good
